"county","case_type","case_number","period"
"oklahoma","CM","CM-2021-3689","pre"
"oklahoma","TR","TR-2022-9022","pre"
"oklahoma","CF","CF-2022-2752","pre"
"oklahoma","TR","TR-2022-7024","pre"
"oklahoma","CF","CF-2021-3520","pre"
"oklahoma","TR","TR-2022-8733","pre"
"oklahoma","CF","CF-2022-1822","pre"
"oklahoma","CF","CF-2022-1966","pre"
"oklahoma","TR","TR-2020-5362","pre"
"oklahoma","CF","CF-2022-668","pre"
"oklahoma","TR","TR-2022-9909","pre"
"oklahoma","TR","TR-2022-7572","pre"
"oklahoma","CF","CF-2019-1749","pre"
"oklahoma","CF","CF-2022-4206","pre"
"oklahoma","CM","CM-2022-3149","pre"
"oklahoma","TR","TR-2001-28204","pre"
"oklahoma","TR","TR-2021-3664","pre"
"oklahoma","TR","TR-2015-27431","pre"
"oklahoma","TR","TR-2022-9658","pre"
"oklahoma","CF","CF-2010-7501","pre"
"oklahoma","CF","CF-2005-4748","pre"
"oklahoma","CF","CF-2019-2100","pre"
"oklahoma","CM","CM-2003-3611","pre"
"oklahoma","CF","CF-2022-3176","pre"
"oklahoma","CF","CF-2021-4668","pre"
"oklahoma","TR","TR-2022-9020","pre"
"oklahoma","TR","TR-2022-7993","pre"
"oklahoma","CF","CF-2022-3709","pre"
"oklahoma","CF","CF-2014-7709","pre"
"oklahoma","CM","CM-2021-2909","pre"
"oklahoma","CM","CM-2005-945","pre"
"oklahoma","CM","CM-2021-2140","pre"
"oklahoma","CF","CF-2015-328","pre"
"oklahoma","TR","TR-2012-23678","pre"
"oklahoma","CF","CF-2018-2922","pre"
"oklahoma","TR","TR-2022-7173","pre"
"oklahoma","CF","CF-2010-7385","pre"
"oklahoma","CM","CM-2022-2196","pre"
"oklahoma","TR","TR-2022-5839","pre"
"oklahoma","CF","CF-2022-2527","pre"
"oklahoma","CF","CF-2011-4472","pre"
"oklahoma","CF","CF-2013-4187","pre"
"oklahoma","TR","TR-2022-6431","pre"
"oklahoma","CF","CF-2002-4980","pre"
"oklahoma","CF","CF-2022-1604","pre"
"oklahoma","CF","CF-2005-5153","pre"
"oklahoma","CF","CF-2013-4810","pre"
"oklahoma","CF","CF-2022-2186","pre"
"oklahoma","CF","CF-2008-6481","pre"
"oklahoma","CM","CM-2010-1021","pre"
"oklahoma","TR","TR-2022-5820","pre"
"oklahoma","CF","CF-2020-1850","pre"
"oklahoma","TR","TR-2022-8100","pre"
"oklahoma","TR","TR-2017-13164","pre"
"oklahoma","CF","CF-2004-7136","pre"
"payne","CF","CF-2022-277","post"
"payne","TR","TR-2022-2890","post"
"payne","CF","CF-2022-438","post"
"payne","CM","CM-2022-57","post"
"payne","TR","TR-2022-2902","post"
"payne","TR","TR-2022-2551","post"
"payne","TR","TR-2022-2327","post"
"payne","TR","TR-2022-3173","post"
"payne","CF","CF-2021-196","post"
"payne","CM","CM-2022-183","post"
"payne","CF","CF-2021-508","post"
"payne","CM","CM-2021-1080","post"
"payne","CM","CM-2022-1020","post"
"payne","TR","TR-2022-2378","post"
"payne","CM","CM-2022-1094","post"
"payne","CM","CM-2022-373","post"
"payne","CM","CM-2018-897","post"
"payne","TR","TR-2022-2310","post"
"payne","CF","CF-2022-210","post"
"payne","CF","CF-2022-449","post"
"payne","CF","CF-2022-162","post"
"payne","CM","CM-2022-32","post"
"payne","TR","TR-2022-2676","post"
"payne","CM","CM-2021-784","post"
"payne","TR","TR-2022-2791","post"
"payne","CF","CF-2020-121","post"
"payne","CM","CM-2022-1127","post"
"payne","CF","CF-2017-247","post"
"payne","CM","CM-2021-726","post"
"payne","CM","CM-2022-1064","post"
"payne","TR","TR-2022-2582","post"
"payne","CM","CM-2022-774","post"
"payne","TR","TR-2022-3003","post"
"payne","CM","CM-2022-453","post"
"payne","CM","CM-2017-880","post"
"payne","CF","CF-2021-246","post"
"payne","CF","CF-2022-504","post"
"payne","CM","CM-2022-881","post"
"payne","TR","TR-2022-2576","post"
"payne","TR","TR-2022-2976","post"
"payne","CF","CF-2002-82","post"
"payne","CF","CF-2021-199","post"
"payne","TR","TR-2022-2080","post"
"payne","CF","CF-2018-305","post"
"payne","TR","TR-2022-990","post"
"payne","CF","CF-2022-196","post"
"payne","TR","TR-2022-3034","post"
"payne","CM","CM-2022-653","post"
"payne","TR","TR-2022-2645","post"
"payne","CM","CM-2020-589","post"
"payne","CF","CF-2015-187","post"
"payne","CM","CM-2022-1107","post"
"payne","CF","CF-2019-112","post"
"payne","CF","CF-2022-50","post"
"payne","TR","TR-2022-2559","post"
"payne","CF","CF-2017-51","post"
"payne","CM","CM-2022-823","post"
"payne","TR","TR-2022-2772","post"
"payne","TR","TR-2022-2787","post"
"payne","TR","TR-2022-2592","post"
"payne","CM","CM-2020-610","post"
"payne","CF","CF-2021-438","post"
"payne","CF","CF-2019-119","post"
"payne","CM","CM-2021-1120","post"
"payne","CF","CF-2021-266","post"
"payne","CF","CF-2021-100","post"
"payne","CM","CM-2016-1604","post"
"payne","CF","CF-2022-515","post"
"payne","CM","CM-2022-442","post"
"payne","TR","TR-2022-2562","post"
"payne","TR","TR-2022-2977","post"
"payne","CF","CF-2015-779","post"
"payne","CM","CM-2021-799","post"
"payne","CM","CM-2011-780","post"
"payne","TR","TR-2022-2715","post"
"payne","CM","CM-2022-156","pre"
"payne","TR","TR-2012-3146","pre"
"payne","TR","TR-2022-2125","pre"
"payne","TR","TR-2022-1677","pre"
"payne","TR","TR-2022-2005","pre"
"payne","CM","CM-2022-346","pre"
"payne","TR","TR-2022-1515","pre"
"payne","TR","TR-2022-2290","pre"
"payne","CM","CM-2022-618","pre"
"payne","CM","CM-2017-227","pre"
"payne","CF","CF-2016-863","pre"
"payne","CF","CF-2022-215","pre"
"payne","CM","CM-2020-276","pre"
"payne","TR","TR-2021-3211","pre"
"payne","CF","CF-2022-325","pre"
"payne","CM","CM-2022-31","pre"
"payne","TR","TR-2022-1726","pre"
"payne","CM","CM-2021-237","pre"
"payne","CF","CF-2022-152","pre"
"payne","TR","TR-2022-1940","pre"
"payne","CF","CF-2020-186","pre"
"payne","CM","CM-2020-524","pre"
"payne","CM","CM-2022-793","pre"
"payne","CM","CM-2022-785","pre"
"payne","TR","TR-2022-1811","pre"
"payne","TR","TR-2022-1735","pre"
"payne","TR","TR-2022-2220","pre"
"payne","TR","TR-2022-2008","pre"
"payne","TR","TR-2022-1966","pre"
"payne","CF","CF-2012-547","pre"
"payne","CM","CM-2022-594","pre"
"payne","TR","TR-2022-1918","pre"
"payne","CM","CM-2021-131","pre"
"payne","CM","CM-2022-1004","pre"
"payne","CF","CF-2013-669","pre"
"payne","TR","TR-2022-1643","pre"
"payne","CM","CM-2016-1610","pre"
"payne","CM","CM-2019-1338","pre"
"payne","CM","CM-2014-697","pre"
"payne","CM","CM-2022-824","pre"
"payne","TR","TR-2022-1539","pre"
"payne","CM","CM-2022-791","pre"
"payne","CM","CM-2022-557","pre"
"payne","CM","CM-2022-678","pre"
"payne","CM","CM-2021-585","pre"
"payne","CM","CM-2021-299","pre"
"payne","TR","TR-2022-1874","pre"
"payne","CM","CM-2017-770","pre"
"payne","TR","TR-2022-2114","pre"
"payne","TR","TR-2022-1738","pre"
"payne","CM","CM-2022-496","pre"
"payne","TR","TR-2022-1697","pre"
"payne","CM","CM-2022-789","pre"
"payne","CM","CM-2022-693","pre"
"payne","TR","TR-2022-1899","pre"
"payne","CF","CF-2021-285","pre"
"payne","CM","CM-2019-1376","pre"
"payne","CM","CM-2017-1703","pre"
"payne","TR","TR-2022-1863","pre"
"payne","CF","CF-2022-335","pre"
"payne","CM","CM-2018-714","pre"
"payne","CF","CF-2021-484","pre"
"payne","CM","CM-2022-138","pre"
"payne","CM","CM-2019-1752","pre"
"payne","CF","CF-2022-228","pre"
"payne","CF","CF-2014-773","pre"
"payne","CF","CF-2022-298","pre"
"payne","CF","CF-2003-752","pre"
"payne","TR","TR-2022-839","pre"
"payne","TR","TR-2022-2055","pre"
"payne","CM","CM-2020-606","pre"
"payne","CM","CM-2011-705","pre"
"payne","CM","CM-2022-883","pre"
"payne","TR","TR-2022-2133","pre"
"payne","CM","CM-2021-914","pre"
"pushmataha","CF","CF-2022-55","post"
"pushmataha","TR","TR-2022-532","post"
"pushmataha","CM","CM-2022-31","post"
"pushmataha","CM","CM-2022-33","post"
"pushmataha","CF","CF-2017-101","post"
"pushmataha","CF","CF-2021-91","post"
"pushmataha","CM","CM-2022-4","post"
"pushmataha","CF","CF-2022-35","post"
"pushmataha","TR","TR-2022-527","post"
"pushmataha","CF","CF-2006-92","post"
"pushmataha","CM","CM-2021-156","post"
"pushmataha","CM","CM-2021-97","post"
"pushmataha","CF","CF-2022-11","post"
"pushmataha","CF","CF-2022-58","post"
"pushmataha","CF","CF-2019-59","post"
"pushmataha","CF","CF-2020-66","post"
"pushmataha","CM","CM-2021-111","post"
"pushmataha","TR","TR-2022-521","post"
"pushmataha","TR","TR-2022-536","post"
"pushmataha","CF","CF-2022-53","post"
"pushmataha","CF","CF-2021-90","post"
"pushmataha","CM","CM-2022-43","post"
"pushmataha","CM","CM-2022-62","post"
"pushmataha","CM","CM-2021-113","post"
"pushmataha","CM","CM-2002-331","post"
"pushmataha","CF","CF-2022-74","post"
"pushmataha","CF","CF-2013-22","post"
"pushmataha","TR","TR-2022-497","post"
"pushmataha","CM","CM-2022-16","post"
"pushmataha","CF","CF-2022-57","post"
"pushmataha","CF","CF-2018-5","post"
"pushmataha","CM","CM-2022-10","post"
"pushmataha","CF","CF-2022-21","post"
"pushmataha","CF","CF-2005-16","post"
"pushmataha","CF","CF-2016-92","post"
"pushmataha","CM","CM-2022-70","post"
"pushmataha","TR","TR-2022-551","post"
"pushmataha","CF","CF-2019-62","post"
"pushmataha","CF","CF-2014-49","post"
"pushmataha","TR","TR-2022-553","post"
"pushmataha","CF","CF-2016-65","post"
"pushmataha","CF","CF-2022-17","post"
"pushmataha","CF","CF-2022-43","post"
"pushmataha","CF","CF-2017-72","post"
"pushmataha","TR","TR-2022-426","post"
"pushmataha","TR","TR-2022-537","post"
"pushmataha","CF","CF-2022-39","post"
"pushmataha","CM","CM-2022-98","post"
"pushmataha","CF","CF-2021-111","post"
"pushmataha","CM","CM-2021-72","post"
"pushmataha","TR","TR-2022-441","post"
"pushmataha","CM","CM-2015-116","post"
"pushmataha","CF","CF-2022-46","post"
"pushmataha","CF","CF-2022-12","post"
"pushmataha","CF","CF-2022-63","post"
"pushmataha","CF","CF-2022-45","post"
"pushmataha","CF","CF-2022-65","post"
"pushmataha","CM","CM-2017-73","post"
"pushmataha","CF","CF-2022-8","post"
"pushmataha","CM","CM-2021-86","post"
"pushmataha","CF","CF-2022-69","post"
"pushmataha","TR","TR-2022-540","post"
"pushmataha","CF","CF-2021-106","post"
"pushmataha","CM","CM-2021-154","post"
"pushmataha","CF","CF-2017-152","post"
"pushmataha","CF","CF-2022-54","post"
"pushmataha","CF","CF-2021-36","post"
"pushmataha","CM","CM-2021-160","post"
"pushmataha","CF","CF-2011-39","post"
"pushmataha","CM","CM-2022-56","post"
"pushmataha","CF","CF-2017-128","post"
"pushmataha","CM","CM-2022-86","post"
"pushmataha","CF","CF-2021-57","post"
"pushmataha","CF","CF-2020-47","post"
"pushmataha","CF","CF-2020-33","post"
"pushmataha","TR","TR-2022-295","pre"
"pushmataha","TR","TR-2022-463","pre"
"pushmataha","CF","CF-2022-42","pre"
"pushmataha","TR","TR-2022-421","pre"
"pushmataha","CF","CF-2021-45","pre"
"pushmataha","TR","TR-2022-352","pre"
"pushmataha","CF","CF-2022-45","pre"
"pushmataha","TR","TR-2022-368","pre"
"pushmataha","TR","TR-2022-322","pre"
"pushmataha","TR","TR-2022-479","pre"
"pushmataha","CF","CF-2022-48","pre"
"pushmataha","CM","CM-2022-65","pre"
"pushmataha","CM","CM-2021-146","pre"
"pushmataha","TR","TR-2022-338","pre"
"pushmataha","CM","CM-2021-98","pre"
"pushmataha","TR","TR-2022-381","pre"
"pushmataha","TR","TR-2022-394","pre"
"pushmataha","TR","TR-2022-450","pre"
"pushmataha","TR","TR-2022-294","pre"
"pushmataha","CM","CM-2022-26","pre"
"pushmataha","TR","TR-2022-371","pre"
"pushmataha","TR","TR-2022-523","pre"
"pushmataha","CM","CM-2022-27","pre"
"pushmataha","CF","CF-2022-29","pre"
"pushmataha","CM","CM-2022-52","pre"
"pushmataha","TR","TR-2022-464","pre"
"pushmataha","TR","TR-2022-459","pre"
"pushmataha","TR","TR-2022-490","pre"
"pushmataha","TR","TR-2022-471","pre"
"pushmataha","CM","CM-2022-77","pre"
"pushmataha","TR","TR-2022-345","pre"
"pushmataha","TR","TR-2022-388","pre"
"pushmataha","TR","TR-2022-487","pre"
"pushmataha","CF","CF-2017-62","pre"
"pushmataha","CF","CF-2012-29","pre"
"pushmataha","CF",NA,"pre"
"pushmataha","TR","TR-2022-399","pre"
"pushmataha","TR","TR-2022-349","pre"
"pushmataha","TR","TR-2022-351","pre"
"pushmataha","CM","CM-2018-133","pre"
"pushmataha","TR","TR-2022-291","pre"
"pushmataha","CF","CF-2021-15","pre"
"pushmataha","CF","CF-2021-91","pre"
"pushmataha","CF","CF-2022-16","pre"
"pushmataha","TR","TR-2022-395","pre"
"pushmataha","TR","TR-2022-361","pre"
"pushmataha","TR","TR-2022-279","pre"
"pushmataha","TR","TR-2022-508","pre"
"pushmataha","CM","CM-2021-156","pre"
"pushmataha","TR","TR-2016-137","pre"
"pushmataha","TR","TR-2022-424","pre"
"pushmataha","TR","TR-2022-329","pre"
"pushmataha","CM","CM-2021-86","pre"
"pushmataha","CF","CF-2017-99","pre"
"pushmataha","CM","CM-2022-22","pre"
"pushmataha","TR","TR-2022-442","pre"
"pushmataha","CM","CM-2021-99","pre"
"pushmataha","CF","CF-2013-6","pre"
"pushmataha","TR","TR-2022-391","pre"
"pushmataha","TR",NA,"pre"
"pushmataha","CF","CF-2021-3","pre"
"pushmataha","TR","TR-2022-164","pre"
"pushmataha","CM","CM-2022-58","pre"
"pushmataha","TR","TR-2022-380","pre"
"pushmataha","CM","CM-2021-82","pre"
"pushmataha","CM","CM-2022-10","pre"
"pushmataha","TR","TR-2022-337","pre"
"pushmataha","CF","CF-2019-58","pre"
"pushmataha","CF","CF-2019-62","pre"
"pushmataha","CF","CF-2011-62","pre"
"pushmataha","CF","CF-2011-39","pre"
"pushmataha","CF","CF-2022-51","pre"
"pushmataha","CM","CM-2021-32","pre"
"pushmataha","CM","CM-2021-89","pre"
"pushmataha","CF","CF-2021-57","pre"
"rogermills","CM",NA,"post"
"rogermills","CF",NA,"post"
"rogermills","TR",NA,"post"
"rogermills","CF",NA,"pre"
"rogermills","TR",NA,"pre"
"rogermills","CM",NA,"pre"
"rogers","CM","CM-2022-688","post"
"rogers","CF","CF-2020-218","post"
"rogers","CF","CF-2020-644","post"
"rogers","TR","TR-2021-4610","post"
"rogers","CF","CF-2022-138","post"
"rogers","CF","CF-2021-268","post"
"rogers","CM","CM-2022-444","post"
"rogers","CM","CM-2022-413","post"
"rogers","CF","CF-2005-151","post"
"rogers","CF","CF-2019-776","post"
"rogers","CF","CF-2020-394","post"
"rogers","CM","CM-2022-227","post"
"rogers","CF","CF-2022-403","post"
"rogers","CF","CF-2022-309","post"
"rogers","CF","CF-2020-512","post"
"rogers","CF","CF-2022-232","post"
"rogers","CF","CF-2022-281","post"
"rogers","CM","CM-2020-727","post"
"rogers","CF","CF-2019-783","post"
"rogers","CM","CM-2021-724","post"
"rogers","CF","CF-2022-413","post"
"rogers","TR","TR-2022-2597","post"
"rogers","CF","CF-2022-485","post"
"rogers","TR","TR-2022-1813","post"
"rogers","CM","CM-2022-592","post"
"rogers","CM","CM-2022-181","post"
"rogers","CM","CM-2021-852","post"
"rogers","CM","CM-2022-363","post"
"rogers","CF","CF-2015-820","post"
"rogers","CM","CM-2022-606","post"
"rogers","TR","TR-2022-2653","post"
"rogers","TR","TR-2022-2633","post"
"rogers","CF","CF-2018-303","post"
"rogers","TR","TR-2022-2556","post"
"rogers","CM","CM-2022-669","post"
"rogers","TR","TR-2022-2406","post"
"rogers","CF","CF-2018-93","post"
"rogers","CF","CF-2022-471","post"
"rogers","CF","CF-2021-47","post"
"rogers","CM","CM-2022-670","post"
"rogers","CM","CM-2022-727","post"
"rogers","TR","TR-2022-2576","post"
"rogers","TR","TR-2022-2584","post"
"rogers","CM","CM-2022-583","post"
"rogers","CF","CF-2022-194","post"
"rogers","CF","CF-2022-341","post"
"rogers","CM","CM-2023-14","post"
"rogers","CF","CF-2022-323","post"
"rogers","CF","CF-2015-646","post"
"rogers","CM","CM-2022-616","post"
"rogers","TR","TR-2022-2744","post"
"rogers","CM","CM-2022-511","post"
"rogers","CM","CM-2022-317","post"
"rogers","TR","TR-2022-2523","post"
"rogers","CF","CF-2022-463","post"
"rogers","CM","CM-2022-465","post"
"rogers","TR","TR-2020-875","post"
"rogers","TR","TR-2022-2788","post"
"rogers","CM","CM-2022-493","post"
"rogers","CF","CF-2022-63","post"
"rogers","TR","TR-2022-2685","post"
"rogers","CF","CF-2023-21","post"
"rogers","CM","CM-2021-545","post"
"rogers","CM","CM-2022-590","post"
"rogers","CF","CF-2020-564","post"
"rogers","CM","CM-2022-45","post"
"rogers","TR","TR-2022-2581","post"
"rogers","TR","TR-2022-2517","post"
"rogers","CM","CM-2021-366","post"
"rogers","CF","CF-2018-695","post"
"rogers","CF","CF-2019-531","post"
"rogers","CF","CF-2020-618","post"
"rogers","CF","CF-2021-452","post"
"rogers","CF","CF-2015-867","post"
"rogers","CM","CM-2012-1105","post"
"rogers","CM","CM-2021-570","pre"
"rogers","CF","CF-2020-723","pre"
"rogers","CM","CM-2020-659","pre"
"rogers","TR","TR-2022-1932","pre"
"rogers","CM","CM-2022-648","pre"
"rogers","CF","CF-2019-227","pre"
"rogers","CM","CM-2016-492","pre"
"rogers","CM","CM-2022-481","pre"
"rogers","CF","CF-2022-32","pre"
"rogers","CF","CF-2022-52","pre"
"rogers","TR","TR-2022-1880","pre"
"rogers","CM","CM-2021-829","pre"
"rogers","CM","CM-2021-300","pre"
"rogers","CF","CF-2020-555","pre"
"rogers","CF","CF-2021-445","pre"
"rogers","CF","CF-2022-89","pre"
"rogers","TR","TR-2022-1912","pre"
"rogers","TR","TR-2022-1522","pre"
"rogers","CF","CF-2021-479","pre"
"rogers","CF","CF-2021-126","pre"
"rogers","TR","TR-2022-2005","pre"
"rogers","CF","CF-2020-420","pre"
"rogers","CM","CM-2022-27","pre"
"rogers","CF","CF-2015-878","pre"
"rogers","CM","CM-2022-519","pre"
"rogers","CF","CF-2021-345","pre"
"rogers","CF","CF-2022-102","pre"
"rogers","TR","TR-2021-4918","pre"
"rogers","CF","CF-2021-172","pre"
"rogers","CF","CF-2019-618","pre"
"rogers","CF","CF-2021-588","pre"
"rogers","TR","TR-2022-1886","pre"
"rogers","CM","CM-2022-341","pre"
"rogers","TR","TR-2022-1931","pre"
"rogers","CM","CM-2022-388","pre"
"rogers","CM","CM-2018-157","pre"
"rogers","CF","CF-2021-263","pre"
"rogers","TR","TR-2022-2328","pre"
"rogers","CM","CM-2021-478","pre"
"rogers","CM","CM-2020-489","pre"
"rogers","CM","CM-2021-446","pre"
"rogers","CM","CM-2022-52","pre"
"rogers","CM","CM-2020-486","pre"
"rogers","CM","CM-2022-343","pre"
"rogers","CM","CM-2017-565","pre"
"rogers","TR","TR-2021-4610","pre"
"rogers","TR","TR-2022-2318","pre"
"rogers","CF","CF-2019-742","pre"
"rogers","CF","CF-2022-353","pre"
"rogers","TR","TR-2022-1703","pre"
"rogers","TR","TR-2022-1570","pre"
"rogers","CF","CF-2021-132","pre"
"rogers","CM","CM-2022-314","pre"
"rogers","TR","TR-2022-1917","pre"
"rogers","CF","CF-2019-442","pre"
"rogers","TR","TR-2022-1632","pre"
"rogers","CF","CF-2017-1018","pre"
"rogers","CF","CF-2018-828","pre"
"rogers","CM","CM-2022-590","pre"
"rogers","TR","TR-2022-1900","pre"
"rogers","TR","TR-2022-471","pre"
"rogers","CF","CF-2022-415","pre"
"rogers","CF","CF-2016-964","pre"
"rogers","CF","CF-2022-123","pre"
"rogers","CF","CF-2022-345","pre"
"rogers","TR","TR-2022-1914","pre"
"rogers","CF","CF-2021-185","pre"
"rogers","TR","TR-2022-1530","pre"
"rogers","CF","CF-2022-364","pre"
"rogers","TR","TR-2022-1921","pre"
"rogers","CF","CF-2021-252","pre"
"rogers","TR","TR-2020-2845","pre"
"rogers","CM","CM-2022-406","pre"
"rogers","CM","CM-2021-670","pre"
"rogers","CF","CF-2018-536","pre"
"tulsa","CF","CF-2022-4420","post"
"tulsa","CF","CF-2022-3816","post"
"tulsa","CF","CF-2023-1215","post"
"tulsa","CM","CM-2022-817","post"
"tulsa","CM","CM-2022-914","post"
"tulsa","CF","CF-2022-3714","post"
"tulsa","CM","CM-2022-3684","post"
"tulsa","CM","CM-2022-2348","post"
"tulsa","CF","CF-2015-6678","post"
"tulsa","CF","CF-2021-3184","post"
"tulsa","CM","CM-2021-2384","post"
"tulsa","CF","CF-2022-2120","post"
"tulsa","CF","CF-1998-4701","post"
"tulsa","CF","CF-2020-902","post"
"tulsa","CM","CM-2015-4707","post"
"tulsa","TR","TR-2022-8227","post"
"tulsa","CM","CM-2019-3238","post"
"tulsa","CF","CF-2021-4169","post"
"tulsa","TR","TR-2022-11023","post"
"tulsa","CM","CM-2018-3668","post"
"tulsa","TR","TR-2022-11625","post"
"tulsa","CF","CF-2021-3676","post"
"tulsa","TR","TR-2022-11834","post"
"tulsa","TR","TR-2022-9705","post"
"tulsa","TR","TR-2022-11158","post"
"tulsa","CM","CM-2022-3622","post"
"tulsa","CF","CF-2017-1639","post"
"tulsa","CM","CM-2022-342","post"
"tulsa","CM","CM-2022-3473","post"
"tulsa","TR","TR-2022-11035","post"
"tulsa","CF","CF-2022-1946","post"
"tulsa","CF","CF-2022-1798","post"
"tulsa","CM","CM-2022-267","post"
"tulsa","TR","TR-2022-10240","post"
"tulsa","CM","CM-2022-554","post"
"tulsa","CF","CF-2017-4557","post"
"tulsa","CM","CM-2017-4312","post"
"tulsa","CF","CF-2019-5465","post"
"tulsa","CM","CM-2022-2248","post"
"tulsa","CM","CM-2021-3560","post"
"tulsa","CF","CF-2022-3270","post"
"tulsa","CF","CF-2019-5639","post"
"tulsa","CM","CM-2014-4611","post"
"tulsa","CF","CF-2020-934","post"
"tulsa","CF","CF-2021-2590","post"
"tulsa","CF","CF-2023-123","post"
"tulsa","TR","TR-2022-10638","post"
"tulsa","CF","CF-2022-4254","post"
"tulsa","CF","CF-2020-2634","post"
"tulsa","CM","CM-2021-941","post"
"tulsa","TR","TR-2022-11272","post"
"tulsa","CF","CF-2019-2471","post"
"tulsa","CM","CM-2022-4208","post"
"tulsa","CF","CF-2013-2367","post"
"tulsa","CF","CF-2020-2344","post"
"tulsa","CM","CM-2022-4092","post"
"tulsa","CM","CM-2021-2068","post"
"tulsa","CF","CF-2001-363","post"
"tulsa","TR","TR-2022-9420","post"
"tulsa","TR","TR-2022-10413","post"
"tulsa","CM","CM-2022-3354","post"
"tulsa","CF","CF-2022-4337","post"
"tulsa","CF","CF-2020-157","post"
"tulsa","CF","CF-2017-2124","post"
"tulsa","CM","CM-2023-225","post"
"tulsa","TR","TR-2022-10813","post"
"tulsa","CF","CF-2021-407","post"
"tulsa","CF","CF-2022-1294","post"
"tulsa","CF","CF-2022-3800","post"
"tulsa","TR","TR-2022-11176","post"
"tulsa","CF","CF-2022-2945","post"
"tulsa","CF","CF-2022-4369","post"
"tulsa","TR","TR-2015-18910","post"
"tulsa","CM","CM-2020-4547","post"
"tulsa","TR","TR-2022-11107","post"
"tulsa","CF","CF-2022-1094","pre"
"tulsa","CM","CM-2022-2752","pre"
"tulsa","TR","TR-2022-9576","pre"
"tulsa","TR","TR-2022-4522","pre"
"tulsa","TR","TR-2022-8797","pre"
"tulsa","CF","CF-2021-2965","pre"
"tulsa","CF","CF-2022-3224","pre"
"tulsa","CM","CM-2021-920","pre"
"tulsa","TR","TR-2009-9933","pre"
"tulsa","TR","TR-2022-4842","pre"
"tulsa","CM","CM-2018-2327","pre"
"tulsa","TR","TR-2022-9371","pre"
"tulsa","TR","TR-2022-6361","pre"
"tulsa","CF","CF-2021-998","pre"
"tulsa","CF","CF-2022-2323","pre"
"tulsa","TR","TR-2022-9827","pre"
"tulsa","TR","TR-2022-7960","pre"
"tulsa","CF","CF-2017-457","pre"
"tulsa","CM","CM-2018-2517","pre"
"tulsa","TR","TR-2022-7458","pre"
"tulsa","TR","TR-2022-9100","pre"
"tulsa","CF","CF-2022-2853","pre"
"tulsa","CM","CM-2021-1639","pre"
"tulsa","TR","TR-2022-8242","pre"
"tulsa","CF","CF-2018-1073","pre"
"tulsa","CF","CF-2014-2713","pre"
"tulsa","CF","CF-2020-4203","pre"
"tulsa","CF","CF-2016-4870","pre"
"tulsa","CM","CM-2022-3273","pre"
"tulsa","CF","CF-2020-1007","pre"
"tulsa","TR","TR-2022-9208","pre"
"tulsa","CM","CM-2020-1751","pre"
"tulsa","CM","CM-2006-3731","pre"
"tulsa","CF","CF-2022-2449","pre"
"tulsa","TR","TR-2022-9237","pre"
"tulsa","CF","CF-2022-3251","pre"
"tulsa","CM","CM-2010-3555","pre"
"tulsa","TR","TR-2022-7090","pre"
"tulsa","CM","CM-2022-3214","pre"
"tulsa","TR","TR-2022-7246","pre"
"tulsa","TR","TR-2017-8344","pre"
"tulsa","CF","CF-2005-2960","pre"
"tulsa","CF","CF-2022-3334","pre"
"tulsa","TR","TR-2022-7912","pre"
"tulsa","CF","CF-2022-2888","pre"
"tulsa","CM","CM-2021-4046","pre"
"tulsa","CF","CF-2022-2408","pre"
"tulsa","CF","CF-2022-2058","pre"
"tulsa","TR","TR-2022-8105","pre"
"tulsa","CF","CF-2022-2620","pre"
"tulsa","CF","CF-2019-1283","pre"
"tulsa","TR","TR-2022-7367","pre"
"tulsa","TR","TR-2022-6213","pre"
"tulsa","TR","TR-2022-9353","pre"
"tulsa","CM","CM-2022-885","pre"
"tulsa","TR","TR-2022-9210","pre"
"tulsa","CF","CF-2022-2282","pre"
"tulsa","TR","TR-2022-9307","pre"
"tulsa","CF","CF-2022-3679","pre"
"tulsa","TR","TR-2022-9262","pre"
"tulsa","CF","CF-2022-2121","pre"
"tulsa","TR","TR-2022-8299","pre"
"tulsa","TR","TR-2022-6504","pre"
"tulsa","CM","CM-2022-1363","pre"
"tulsa","CM","CM-2020-1547","pre"
"tulsa","CF","CF-2022-2069","pre"
"tulsa","CF","CF-2009-2371","pre"
"tulsa","CF","CF-2020-4322","pre"
"tulsa","CM","CM-2019-3889","pre"
"tulsa","TR","TR-2022-8270","pre"
"tulsa","TR","TR-2020-3414","pre"
"tulsa","CF","CF-2021-3045","pre"
"tulsa","CF","CF-2022-1320","pre"
"tulsa","CM","CM-2022-2610","pre"
"tulsa","TR","TR-2022-9612","pre"
